"Seed","depth","Number_of_true_positive_DUP","Number_of_true_positive_INV","Number_of_false_negative_DUP","Number_of_false_negative_INV","Number_of_false_positive_DUP","Number_of_false_positive_INV","Recall_INV","Precision_INV","Recall_DUP","Precision_DUP"
"70x","70x",22,146,0,0,0,0,1,1,1,1
"seed1","10x",14,115,8,31,5,4,0.787671232876712,0.966386554621849,0.636363636363636,0.736842105263158
"seed1","15x",16,128,6,18,1,5,0.876712328767123,0.962406015037594,0.727272727272727,0.941176470588235
"seed1","25x",17,134,5,12,3,4,0.917808219178082,0.971014492753623,0.772727272727273,0.85
"seed1","40x",17,134,2,13,1,6,0.91156462585034,0.957142857142857,0.894736842105263,0.944444444444444
"seed1","5x",6,78,16,68,1,2,0.534246575342466,0.975,0.272727272727273,0.857142857142857
"seed1","6x",9,86,13,60,2,2,0.589041095890411,0.977272727272727,0.409090909090909,0.818181818181818
"seed1","8x",12,109,10,37,2,3,0.746575342465753,0.973214285714286,0.545454545454545,0.857142857142857
"seed2","10x",11,109,11,37,1,10,0.746575342465753,0.915966386554622,0.5,0.916666666666667
"seed2","15x",14,124,8,22,2,6,0.849315068493151,0.953846153846154,0.636363636363636,0.875
"seed2","25x",16,132,6,14,NA,NA,0.904109589041096,NA,0.727272727272727,NA
"seed2","40x",21,140,1,6,2,1,0.958904109589041,0.99290780141844,0.954545454545455,0.91304347826087
"seed2","5x",7,70,15,76,1,7,0.479452054794521,0.909090909090909,0.318181818181818,0.875
"seed2","6x",9,84,13,62,3,7,0.575342465753425,0.923076923076923,0.409090909090909,0.75
"seed2","8x",9,102,13,44,5,10,0.698630136986301,0.910714285714286,0.409090909090909,0.642857142857143
"seed3","10x",12,112,10,34,4,3,0.767123287671233,0.973913043478261,0.545454545454545,0.75
"seed3","15x",13,117,9,29,3,1,0.801369863013699,0.991525423728814,0.590909090909091,0.8125
"seed3","25x",14,125,8,21,2,5,0.856164383561644,0.961538461538462,0.636363636363636,0.875
"seed3","40x",20,134,2,12,1,5,0.917808219178082,0.964028776978417,0.909090909090909,0.952380952380952
"seed3","5x",6,76,16,70,1,NA,0.520547945205479,NA,0.272727272727273,0.857142857142857
"seed3","6x",9,84,13,62,3,7,0.575342465753425,0.923076923076923,0.409090909090909,0.75
"seed3","8x",10,106,12,40,NA,2,0.726027397260274,0.981481481481482,0.454545454545455,NA
