"depth","threshold","proportion_below_treshold"
"10x",0.8,0.0159965610594864
"15x",0.8,0.0151562690651746
"25x",0.8,0.013526666500287
"40x",0.8,0.0109868819374369
"5x",0.8,0.0152148368887112
"6x",0.8,0.0155593164819567
"70x",0.8,NA
"8x",0.8,0.0159290829830297
"10x",0.85,0.0272737250310968
"15x",0.85,0.0256933186912793
"25x",0.85,0.0230019882369579
"40x",0.85,0.018066599394551
"5x",0.85,0.0268318978570823
"6x",0.85,0.026980400720642
"70x",0.85,NA
"8x",0.85,0.0272458352794644
"10x",0.9,0.0552151167044706
"15x",0.9,0.0487894158866287
"25x",0.9,0.0418028900147246
"40x",0.9,0.0332593340060545
"5x",0.9,0.0577461205800051
"6x",0.9,0.0571054211934269
"70x",0.9,NA
"8x",0.9,0.0563015724739218
